127.0.0.1, 2023-05-19 16:33:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000233
127.0.0.1, 2023-05-19 16:33:02, POST, /admin/default/index, HTTP/1.1, 303, 0.008419
127.0.0.1, 2023-05-19 16:33:02, GET, /admin/default/site, HTTP/1.1, 200, 0.042289
127.0.0.1, 2023-05-19 16:33:04, POST, /admin/default/check_version, HTTP/1.1, 200, 1.362674
127.0.0.1, 2023-05-19 16:33:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000699
127.0.0.1, 2023-05-19 16:33:44, GET, /movies/default/call/json/myapi, HTTP/1.1, 200, 3.059481
127.0.0.1, 2023-05-19 16:33:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000423
127.0.0.1, 2023-05-19 16:34:04, GET, /movies/static/test.html, HTTP/1.1, 404, 0.000411
127.0.0.1, 2023-05-19 16:34:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000202
127.0.0.1, 2023-05-19 16:34:58, GET, /movies/static/test.html, HTTP/1.1, 200, 0.000722
127.0.0.1, 2023-05-19 16:35:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000496
127.0.0.1, 2023-05-19 16:35:01, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 200, 0.192225
127.0.0.1, 2023-05-19 16:40:33, GET, /movies/static/movies/index.html, HTTP/1.1, 404, 0.000343
127.0.0.1, 2023-05-19 16:40:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000289
127.0.0.1, 2023-05-19 16:45:55, GET, /movies/static/movies/index.html, HTTP/1.1, 200, 0.000622
127.0.0.1, 2023-05-19 16:45:55, GET, /movies/static/movies/vendor/bootstrap/css/bootstrap.min.css, HTTP/1.1, 200, 0.000751
127.0.0.1, 2023-05-19 16:45:55, GET, /movies/static/movies/vendor/custom.css, HTTP/1.1, 200, 0.000529
127.0.0.1, 2023-05-19 16:45:55, GET, /movies/static/movies/vendor/jquery.min.js, HTTP/1.1, 200, 0.001444
127.0.0.1, 2023-05-19 16:45:55, GET, /movies/static/movies/vendor/vue-ratings.js, HTTP/1.1, 200, 0.002392
127.0.0.1, 2023-05-19 16:45:55, GET, /movies/static/movies/vendor/axios.min.js, HTTP/1.1, 200, 0.002746
127.0.0.1, 2023-05-19 16:45:55, GET, /movies/static/movies/vendor/vue.js, HTTP/1.1, 200, 0.002612
127.0.0.1, 2023-05-19 16:45:56, GET, /movies/static/movies/vendor/bootstrap/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.002084
127.0.0.1, 2023-05-19 16:45:56, GET, /movies/static/movies/vendor/loadash.js, HTTP/1.1, 200, 0.002295
127.0.0.1, 2023-05-19 16:45:56, GET, /movies/static/movies/movies.json, HTTP/1.1, 200, 0.000721
127.0.0.1, 2023-05-19 16:45:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000289
127.0.0.1, 2023-05-19 16:47:52, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.001204
127.0.0.1, 2023-05-19 16:48:04, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.001186
127.0.0.1, 2023-05-19 16:50:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000162
127.0.0.1, 2023-05-19 16:57:24, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.001840
127.0.0.1, 2023-05-19 17:01:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000205
127.0.0.1, 2023-05-19 17:02:02, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.001608
127.0.0.1, 2023-05-26 15:56:09, GET, /, HTTP/1.1, 303, 4.613700
